ID;Idade;GrupoIdade;Rotatividade;Viagem;HoraTrabalhada;Departamento;DistanciaCasa;Educacao;AreadeAtuacao;ContagemEmpregados;NumeroEmpregados;SatisfacaoAmbiental;Gênero;TaxaHoraria;InvolvimentoTrabalho;NivelTrabalho;CargoTrabalho;SatisfacaoTrabalho;EstadoCivil;RendaMensal;PisoSalarial;TaxaMensal;NumEmpresasTrabalhadas;AcimaDe18;HoraExtra;PercentualdeAumentoSalarial;AvaliacaoDesempenho;SatisfacaoRelacionamento;HorarioPadrao;ComprarAcoes;AnosTrabalhados;TempodeTreinoAnoPassado;BalancaPessoal;AnosDeEmpresa;AnosNoCargoAtual;AnosDesdeAUtilmaPromocao;AnosComoDiretor
RM297;18;18-25;Sim;Viaja_Raramente;230;Pesquisa e Desenvolvimento;3;3;Ciências Humanas;1;405;3;Masculino;54;3;1;Técnico de laboratório;3;Solteiro;1420;Ate 5k;25233;1;Sim;Não;13;3;3;80;0;0;2;3;0;0;0;0
RM302;18;18-25;Não;Viaja_Raramente;812;Vendas;10;3;Médica;1;411;4;Feminino;69;2;1;Representativo de Vendas;3;Solteiro;1200;Ate 5k;9724;1;Sim;Não;12;3;1;80;0;0;2;3;0;0;0;0
RM458;18;18-25;Sim;Viaja_Frequentemente;1306;Vendas;5;3;Marketing;1;614;2;Masculino;69;3;1;Representativo de Vendas;2;Solteiro;1878;Ate 5k;8059;1;Sim;Sim;14;3;4;80;0;0;3;3;0;0;0;0
RM728;18;18-25;Não;Não_Viaja;287;Pesquisa e Desenvolvimento;5;2;Ciências Humanas;1;1012;2;Masculino;73;3;1;Cientista Pesquisador;4;Solteiro;1051;Ate 5k;13493;1;Sim;Não;15;3;4;80;0;0;2;3;0;0;0;0
RM829;18;18-25;Sim;Não_Viaja;247;Pesquisa e Desenvolvimento;8;1;Médica;1;1156;3;Masculino;80;3;1;Técnico de laboratório;3;Solteiro;1904;Ate 5k;13556;1;Sim;Não;12;3;4;80;0;0;0;3;0;0;0;0
RM973;18;18-25;Não;Não_Viaja;1124;Pesquisa e Desenvolvimento;1;3;Ciências Humanas;1;1368;4;Feminino;97;3;1;Técnico de laboratório;4;Solteiro;1611;Ate 5k;19305;1;Sim;Não;15;3;3;80;0;0;5;4;0;0;0;0
RM1154;18;18-25;Sim;Viaja_Frequentemente;544;Vendas;3;2;Médica;1;1624;2;Feminino;70;3;1;Representativo de Vendas;4;Solteiro;1569;Ate 5k;18420;1;Sim;Sim;12;3;3;80;0;0;2;4;0;0;0;0
RM1312;18;18-25;Não;Não_Viaja;1431;Pesquisa e Desenvolvimento;14;3;Médica;1;1839;2;Feminino;33;3;1;Cientista Pesquisador;3;Solteiro;1514;Ate 5k;8018;1;Sim;Não;16;3;3;80;0;0;4;1;0;0;0;0
RM128;19;18-25;Sim;Viaja_Raramente;528;Vendas;22;1;Marketing;1;167;4;Masculino;50;3;1;Representativo de Vendas;3;Solteiro;1675;Ate 5k;26820;1;Sim;Sim;19;3;4;80;0;0;2;2;0;0;0;0
RM150;19;18-25;Não;Viaja_Raramente;1181;Pesquisa e Desenvolvimento;3;1;Médica;1;201;2;Feminino;79;3;1;Técnico de laboratório;2;Solteiro;1483;Ate 5k;16102;1;Sim;Não;14;3;4;80;0;1;3;3;1;0;0;0
